LR_RiskDecile,Count,DefaultRate,Lift
1,5107,0.0475817505384766,0.409711684370258
2,5107,0.06990405326023105,0.6019221041982802
3,5107,0.08047777560211475,0.6929691451694487
4,5107,0.09163892696299197,0.7890743550834598
5,5107,0.09888388486391228,0.851458438711853
6,5107,0.10691208145682397,0.9205867475973698
7,5107,0.12296847464264735,1.0588433653684033
8,5107,0.13393381633052673,1.1532625189681336
9,5107,0.17231251223810456,1.4837295565671895
10,5107,0.23673389465439593,2.0384420839656046
