CreditScore,DTIRatio,Income,MonthsEmployed,Education,EmploymentType,LoanPurpose,ActualDefault,PredictedPD,LR_RiskDecile,Approved
789,0.65,20956,102,Master's,Full-time,Education,0,0.08461623144977899,4,1
603,0.67,138499,102,High School,Full-time,Home,0,0.040236479239617595,1,1
337,0.74,22538,48,High School,Self-employed,Other,0,0.23830189747125508,10,0
531,0.55,34754,107,Master's,Unemployed,Education,0,0.12219577571727047,7,1
484,0.8,47430,30,PhD,Part-time,Home,0,0.16377524269567423,9,0
356,0.21,131565,115,Master's,Part-time,Home,0,0.04237832034222154,1,1
422,0.87,102696,37,Master's,Part-time,Home,0,0.11481765596023437,6,1
790,0.56,17100,66,Master's,Part-time,Auto,0,0.1436865120931133,8,1
593,0.65,112573,23,Master's,Unemployed,Business,1,0.14121130550684735,8,1
650,0.67,125679,7,PhD,Part-time,Business,0,0.1200339004670365,6,1
319,0.3,65758,36,Bachelor's,Part-time,Business,0,0.18373640791614632,9,0
519,0.66,81821,76,Bachelor's,Self-employed,Other,0,0.10669567568938518,5,1
732,0.26,24849,102,Bachelor's,Unemployed,Business,1,0.13036121729539682,7,1
692,0.27,53209,10,Bachelor's,Full-time,Education,0,0.14782103117646547,8,1
692,0.4,61022,110,High School,Full-time,Business,0,0.07378671926941857,3,1
379,0.36,60397,100,Bachelor's,Full-time,Auto,0,0.08612138885742608,4,1
630,0.62,88266,77,PhD,Part-time,Home,0,0.07329481753850108,3,1
724,0.18,67395,33,Bachelor's,Part-time,Auto,0,0.13565299948433276,7,1
714,0.23,50964,97,PhD,Unemployed,Other,0,0.09292425313766117,4,1
802,0.13,103000,24,High School,Unemployed,Home,0,0.11245082668936388,6,1
398,0.74,101368,34,Master's,Full-time,Home,0,0.09222748486911385,4,1
471,0.45,68323,118,Master's,Part-time,Other,0,0.07658911746348722,3,1
653,0.19,96131,30,Bachelor's,Self-employed,Home,0,0.09875513233086652,5,1
396,0.47,115082,16,Bachelor's,Part-time,Business,0,0.151999637244079,8,1
766,0.11,131273,118,Bachelor's,Unemployed,Auto,0,0.046130553555757244,1,1
499,0.83,63653,53,High School,Full-time,Education,0,0.1363464834987068,7,1
320,0.23,52214,80,Bachelor's,Part-time,Home,1,0.1172853413524465,6,1
457,0.63,133585,80,PhD,Full-time,Auto,0,0.05204075635100494,1,1
651,0.71,46317,102,Bachelor's,Part-time,Education,0,0.10888069640717328,6,1
849,0.25,112736,119,High School,Full-time,Education,0,0.03741242014500253,1,1
458,0.73,61259,9,High School,Part-time,Auto,1,0.23803678765289765,10,0
844,0.45,104050,15,High School,Unemployed,Auto,0,0.14627036604368637,8,1
462,0.35,116305,69,PhD,Self-employed,Auto,0,0.07426746163676522,3,1
373,0.49,112537,21,Master's,Part-time,Other,0,0.1299434736022365,7,1
488,0.39,87043,28,Master's,Self-employed,Other,0,0.12972076185589163,7,1
307,0.57,125389,54,Master's,Full-time,Education,1,0.07683949816305294,3,1
611,0.35,21987,6,High School,Self-employed,Education,0,0.2537670790848617,10,0
537,0.54,129553,34,High School,Full-time,Business,0,0.09459514047635123,4,1
691,0.11,101476,107,Bachelor's,Self-employed,Business,0,0.05897053549895358,2,1
380,0.67,113121,80,High School,Full-time,Auto,0,0.07984458411789662,3,1
716,0.52,102746,110,Bachelor's,Full-time,Other,0,0.047340659689073306,1,1
828,0.71,99980,0,Bachelor's,Self-employed,Auto,0,0.14426047529864386,8,1
531,0.73,26403,23,Master's,Self-employed,Education,0,0.21573369784230206,10,0
761,0.44,79398,101,PhD,Full-time,Auto,0,0.05131330781993811,1,1
527,0.7,44761,2,Bachelor's,Self-employed,Home,0,0.21280424374103693,10,0
775,0.5,49191,5,PhD,Full-time,Auto,0,0.1412065893872209,8,1
415,0.15,19363,65,Master's,Unemployed,Other,0,0.18072319426882172,9,0
630,0.18,95053,1,Master's,Unemployed,Auto,0,0.15682901383154596,8,1
551,0.42,16992,14,Master's,Part-time,Other,0,0.2303214357020232,10,0
685,0.47,33625,103,High School,Self-employed,Auto,0,0.11398127118485199,6,1
304,0.25,113531,102,PhD,Part-time,Other,0,0.06350465557155593,2,1
802,0.52,107929,71,Bachelor's,Part-time,Home,0,0.06620413482041772,2,1
467,0.82,59635,26,Bachelor's,Self-employed,Home,0,0.17260446684344558,9,0
387,0.49,92594,118,PhD,Unemployed,Business,0,0.0808907203391346,3,1
849,0.18,69641,25,Bachelor's,Full-time,Auto,0,0.10452977659897413,5,1
555,0.24,88947,68,Bachelor's,Self-employed,Education,0,0.09538123832143869,5,1
711,0.26,59316,41,High School,Part-time,Business,0,0.15567033143625236,8,1
490,0.68,28903,61,Master's,Part-time,Other,1,0.16707931368846937,9,0
594,0.68,30340,1,Bachelor's,Self-employed,Business,0,0.266672806906594,10,0
683,0.68,19178,89,High School,Part-time,Other,0,0.15133854904775057,8,1
832,0.21,99547,66,High School,Unemployed,Education,0,0.09518969092885263,5,1
806,0.2,96405,69,Bachelor's,Self-employed,Other,0,0.07486024958569377,3,1
698,0.82,97733,27,PhD,Unemployed,Business,0,0.14406342363038033,8,1
533,0.67,138491,23,Master's,Part-time,Other,1,0.10053700527273365,5,1
386,0.27,134991,75,PhD,Full-time,Home,0,0.043524384472159845,1,1
681,0.15,121988,54,Bachelor's,Full-time,Business,0,0.06486307087113659,2,1
522,0.36,79635,40,PhD,Self-employed,Business,0,0.12466156637570484,7,1
348,0.53,55779,110,PhD,Full-time,Auto,0,0.07658361751609241,3,1
396,0.15,51609,6,High School,Unemployed,Business,0,0.2742838786501702,10,0
512,0.49,90536,103,Bachelor's,Unemployed,Other,0,0.09183951310969216,4,1
646,0.77,120263,34,Master's,Full-time,Home,0,0.06875348264446615,2,1
306,0.17,38449,30,Bachelor's,Full-time,Education,0,0.1724675794063102,9,0
410,0.4,133961,30,Master's,Full-time,Business,0,0.08325092035631487,3,1
619,0.46,88272,66,Master's,Full-time,Other,0,0.07246829743976742,3,1
309,0.22,83269,44,PhD,Unemployed,Education,0,0.1445059847666577,8,1
361,0.21,42384,34,Master's,Part-time,Auto,0,0.18189087861629727,9,0
359,0.5,141689,107,Master's,Full-time,Other,0,0.04082750535808262,1,1
847,0.64,147710,63,High School,Unemployed,Business,0,0.08010082364102375,3,1
585,0.33,93304,63,High School,Unemployed,Other,0,0.12198250812989735,7,1
582,0.28,117906,39,High School,Unemployed,Education,0,0.12302011437863998,7,1
539,0.3,140694,99,Bachelor's,Full-time,Other,0,0.04105085331967669,1,1
640,0.43,31841,102,PhD,Self-employed,Business,0,0.10178950492105518,5,1
602,0.6,118922,86,PhD,Unemployed,Education,1,0.07303769168539136,3,1
621,0.67,144017,97,Bachelor's,Part-time,Other,0,0.05467134392480607,1,1
478,0.3,142404,85,Master's,Self-employed,Education,0,0.05339795684390973,1,1
579,0.87,57439,24,PhD,Self-employed,Other,0,0.16941784202225263,9,0
766,0.4,67399,50,Bachelor's,Full-time,Auto,0,0.09691951195120767,5,1
474,0.13,147585,104,Bachelor's,Full-time,Other,0,0.03715131213171546,1,1
781,0.58,18671,49,Master's,Full-time,Other,0,0.1289386122622511,7,1
533,0.74,57774,54,PhD,Unemployed,Home,0,0.13842469372284,8,1
622,0.13,146228,20,High School,Self-employed,Education,0,0.09233277996282208,4,1
589,0.87,116310,32,PhD,Unemployed,Other,0,0.12373287763954748,7,1
497,0.56,72265,70,Master's,Self-employed,Home,0,0.09373100134956214,4,1
572,0.69,25402,88,High School,Self-employed,Education,1,0.15250977429056972,8,1
482,0.12,35464,81,Bachelor's,Full-time,Other,0,0.10476173091481897,5,1
382,0.74,25930,42,Master's,Part-time,Business,1,0.22292171194681326,10,0
610,0.29,30008,78,Master's,Full-time,Education,0,0.0981736262061841,5,1
361,0.38,136113,22,Master's,Unemployed,Other,0,0.12207503416416327,7,1
389,0.64,35127,81,Bachelor's,Self-employed,Education,0,0.1548787847731386,8,1
764,0.61,98578,56,High School,Full-time,Education,0,0.0827109152650438,3,1
778,0.81,50806,52,Bachelor's,Full-time,Education,0,0.11778755833968724,6,1
832,0.11,48339,10,PhD,Self-employed,Other,0,0.14357358411730026,8,1
442,0.22,85425,102,Master's,Self-employed,Home,0,0.06174388252701111,2,1
420,0.72,78141,41,Master's,Full-time,Business,0,0.12362786659947689,7,1
455,0.58,122906,48,Master's,Self-employed,Education,1,0.09202770430038801,4,1
386,0.51,37516,24,PhD,Part-time,Business,0,0.21630312989007194,10,0
703,0.35,42407,22,High School,Part-time,Education,0,0.1954330975430992,10,0
642,0.42,95759,96,Bachelor's,Unemployed,Auto,0,0.0856912405975265,4,1
537,0.56,79434,55,Bachelor's,Self-employed,Business,0,0.13142782303752848,7,1
638,0.24,138694,11,PhD,Part-time,Home,0,0.07787245463364549,3,1
619,0.84,103014,19,High School,Self-employed,Education,0,0.15195372379293945,8,1
747,0.64,145884,10,High School,Self-employed,Other,0,0.1050606391680543,5,1
514,0.6,110945,35,High School,Self-employed,Auto,1,0.12850375080350718,7,1
544,0.29,142802,51,Bachelor's,Self-employed,Education,0,0.07490316978435614,3,1
458,0.77,59782,83,Bachelor's,Self-employed,Auto,0,0.12800510420438163,7,1
665,0.47,81603,58,PhD,Unemployed,Other,0,0.11148035749672344,6,1
732,0.54,106216,68,Bachelor's,Part-time,Education,1,0.083857529963582,4,1
565,0.83,75395,32,High School,Unemployed,Other,0,0.19885535580722394,10,0
753,0.32,17682,16,PhD,Self-employed,Business,0,0.19719526226637557,10,0
339,0.8,16423,15,PhD,Self-employed,Business,0,0.277579049475644,10,0
588,0.26,81014,93,Bachelor's,Self-employed,Education,0,0.08120095109361625,3,1
460,0.82,32888,101,High School,Part-time,Home,0,0.1302472324276945,7,1
741,0.84,110661,73,Bachelor's,Self-employed,Other,0,0.08039081175080953,3,1
815,0.16,131045,115,High School,Part-time,Other,0,0.04275464174719447,1,1
784,0.24,109146,80,PhD,Part-time,Business,0,0.06134936875177849,2,1
735,0.2,56307,94,PhD,Part-time,Auto,0,0.07902706261906778,3,1
569,0.78,81985,79,High School,Unemployed,Business,0,0.14015209857624722,8,1
426,0.55,98282,56,High School,Self-employed,Home,0,0.1072426300610746,5,1
787,0.13,19074,101,High School,Unemployed,Auto,0,0.13082448557034296,7,1
321,0.85,86986,106,Bachelor's,Unemployed,Home,0,0.09934718613757429,5,1
309,0.87,69182,92,High School,Self-employed,Business,0,0.14093048600831953,8,1
659,0.44,39269,60,Bachelor's,Unemployed,Auto,0,0.16910345185476805,9,0
596,0.5,102716,75,Master's,Full-time,Auto,0,0.06270181807816032,2,1
822,0.14,54951,90,PhD,Part-time,Education,0,0.07621567296361172,3,1
